param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.4,1339,25,0.20280941607454034,0.006354837903440664
0.4,1423,25,0.20118256478330956,0.010201330805202913
0.4,1332,50,0.20029922255102667,0.006220097011482862
0.4,1416,50,0.1996137872415797,0.007482518091812947
0.6,1409,25,0.19798970814953196,0.049821971983719765
0.4,1402,25,0.19793337153727028,0.010736652997407288
0.4,1283,25,0.19740488520416627,0.009314998761210934
0.4,1381,100,0.1972209131249673,0.0075143049228432405
0.6,1332,25,0.1968599919863343,0.06281025881393824
0.4,1339,50,0.19546405522490312,0.007322879984517081
0.4,1262,25,0.19544969700083575,0.01068857161629607
0.4,1423,50,0.19514111339510526,0.006766388773740717
0.4,1283,50,0.19512740822706265,0.004565417577398181
0.4,1409,25,0.19512415556953336,0.005349889430828618
0.4,1395,25,0.19506766459678454,0.008952871887917263
0.4,1269,25,0.19466732733064146,0.007787695851919079
0.4,1325,25,0.19465988175188564,0.006688225427301876
0.4,1416,100,0.19458665015611057,0.003222381131998419
0.4,1367,25,0.19457243154501067,0.015962982332779835
0.4,1367,50,0.19427880032116712,0.01374153490741526
0.4,1409,50,0.19393353031984933,0.00615342230707158
0.4,1234,250,0.19381109696787352,0.0018112925965132845
0.4,1381,150,0.19378126608754154,0.005520520620969724
0.4,1367,100,0.19339206842150394,0.004654990565936275
0.4,1430,25,0.19336327155707642,0.007517305240434542
0.4,1437,25,0.19306152759361273,0.017825190730313224
0.6,1416,25,0.19254270797696388,0.026841929507330813
0.4,1367,150,0.19228036126535858,0.0045600546732052155
0.4,1332,100,0.19220975979760432,0.0032771894417269656
0.4,1234,200,0.19211409100211468,0.003253222838375641
0.4,1381,50,0.19192169944540438,0.010070207631175696
0.4,1269,50,0.19178361560450913,0.006519455914653362
0.4,1437,150,0.19158218224675405,0.002965891340085647
0.4,1325,50,0.19150952811127003,0.0061862196435805575
0.4,1416,200,0.19147663565351536,0.004847023161295068
0.4,1262,50,0.19133268956853206,0.006297514905554393
0.4,1437,100,0.19129306762288878,0.0021892235140014314
0.4,1388,50,0.19113652698474626,0.009870532891094552
0.4,1437,200,0.19092710452197886,0.004038619943095927
0.4,1353,100,0.19075339408638325,0.004629419242925059
0.4,1234,300,0.1907199503055935,0.0025665024847464765
0.4,1318,50,0.19061458606127535,0.002188558679611753
0.4,1297,25,0.1904689927511412,0.006658163787339566
0.4,1234,100,0.19036958273381127,0.00209000770313498
0.4,1262,150,0.18973464242193078,0.004366566265013659
0.4,1248,50,0.18967192549418724,0.00539991762619521
0.4,1318,100,0.18947796003207318,0.0013308381574454603
0.4,1395,200,0.18937982320053215,0.005661939151296697
0.4,1374,50,0.1892524166165212,0.010916962593806392
0.4,1346,200,0.18876276668239206,0.0026813119009141987
0.4,1290,50,0.18876152706129418,0.008557620616653609
0.4,1437,300,0.18864409792622222,0.0030545313671274266
0.4,1262,200,0.18863698601216003,0.005529427853399463
0.4,1346,150,0.18863343366452467,0.004452888509640074
0.4,1283,100,0.18861151153217254,0.005995581595652071
0.4,1381,200,0.1882042819514558,0.005404472677998257
0.4,1318,200,0.18812827850049493,0.001919428531800575
